	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000186185.13	1105.36491304059	2.80349651081104	0.233753319353325	11.9933976491409	3.84791566067727e-33	2.78264247570182e-30
ENSG00000153179.11	1889.04808003048	-2.38297054316943	0.198730943149876	-11.9909386298856	3.96387817051541e-33	2.78264247570182e-30
ENSG00000163815.5	467.287227811501	-4.19966800927794	0.351588931177671	-11.9448243015241	6.90962149073591e-33	4.6832937938588e-30
ENSG00000197321.14	5851.06179877752	-2.96924212364219	0.249567956490415	-11.8975294961644	1.21902680733224e-32	7.98706364164086e-30
ENSG00000116604.17	2495.32754922352	-1.36592466651645	0.115111456871179	-11.8661052830307	1.77542198232428e-32	1.12573208014729e-29
ENSG00000118526.6	431.513272148488	-4.16338324645039	0.351526986248644	-11.8437087601164	2.31963552493411e-32	1.42483612119077e-29
ENSG00000111696.11	641.439726054946	-2.77930142608612	0.234887232009353	-11.8324925638166	2.65149315412739e-32	1.57932574053115e-29
ENSG00000160613.12	3116.86613617295	-1.69566659946086	0.144048498768481	-11.7714978910414	5.47437586512406e-32	3.16483329426113e-29
ENSG00000198838.11	58.0064947370613	-3.58539722556077	0.305595410351293	-11.7324969685874	8.6857979531786e-32	4.8779441305051e-29
ENSG00000148411.7	1212.67905506165	-2.52192973501231	0.215833919133178	-11.6845848193869	1.52824494129698e-31	8.34421737948151e-29
ENSG00000154920.14	279.327223612865	2.60207020189658	0.223302797314938	11.6526538546972	2.22422366515954e-31	1.18160379357773e-28
ENSG00000079308.16	9393.15737803046	-4.1700989864801	0.35896393388857	-11.6170416935942	3.3762553065793e-31	1.74641248174007e-28
ENSG00000097007.17	3913.09212892536	-1.66352720995214	0.143620291700345	-11.5828145887838	5.03648025606757e-31	2.53838604905805e-28
ENSG00000160957.12	2044.90081267479	2.52865745611819	0.218425091952409	11.5767718512356	5.40430281673388e-31	2.65567440414303e-28
ENSG00000140416.19	14072.8738868249	-3.34373105065863	0.289395537310106	-11.5541900947685	7.03071694025956e-31	3.37062858970102e-28
ENSG00000123500.9	1066.3601424103	6.12954900339283	0.530684783986361	11.5502633358909	7.35945950239413e-31	3.44422704712045e-28
ENSG00000118407.14	389.319612873193	-4.22620985798533	0.366019358456642	-11.546410757632	7.69681144176731e-31	3.51833780696228e-28
ENSG00000187239.16	2293.69709811733	-2.42788108617912	0.210314621714689	-11.5440432357231	7.9116932234466e-31	3.53436913636514e-28
ENSG00000068976.13	195.246326785438	-4.53998393726917	0.39771827827051	-11.4150749043052	3.51600937362045e-30	1.53579289439741e-27
ENSG00000163820.14	2422.70989722395	-2.0626665553298	0.181122770775525	-11.3882232835659	4.78650048103246e-30	2.04529246641683e-27
ENSG00000132326.11	850.769166294877	-2.20869475936357	0.194019369592723	-11.3838879283031	5.03058989479767e-30	2.10385691430091e-27
ENSG00000152484.13	1383.81561514387	-1.57658829661661	0.138640660891436	-11.3717598176424	5.78101247794271e-30	2.36541379459026e-27
ENSG00000183856.10	1900.41559402429	2.68616231818985	0.236249346812535	11.3700306664608	5.896686809876e-30	2.36541379459026e-27
ENSG00000099953.9	10650.2240350666	5.05451249937441	0.444858595568922	11.3620654961388	6.45989768207689e-30	2.53951497677807e-27
ENSG00000100307.12	1500.43382219877	-2.51401273952704	0.22131396833111	-11.3594851625714	6.65355837142882e-30	2.56435967350598e-27
ENSG00000197256.10	4013.44365700586	-2.8217172443365	0.249443380542398	-11.3120550170578	1.14378773695621e-29	4.32351764569447e-27
ENSG00000135842.16	3357.26110523246	-3.69558439008864	0.326764055546637	-11.3096417043373	1.17568633959752e-29	4.36024352662807e-27
ENSG00000135451.12	1332.06742036058	2.60635574044384	0.231145433217732	11.2758262370199	1.72749157339661e-29	6.28806932716366e-27
ENSG00000162407.8	2507.98805959523	-2.36212608885303	0.210550678252082	-11.2188006633964	3.29711517624045e-29	1.17832901643968e-26
ENSG00000068024.16	617.48897254284	-2.13933511693635	0.191106875401091	-11.194443488474	4.34119521248383e-29	1.52375951958183e-26
ENSG00000188215.9	832.646037878242	-1.69591615329474	0.151749089998978	-11.1757912571743	5.35707996131924e-29	1.8473467319244e-26
ENSG00000123485.11	1067.42965610623	2.44975834480757	0.220024362790175	11.1340322214398	8.56704679288395e-29	2.9033426165677e-26
ENSG00000170373.8	1267.7893675093	6.08607902481145	0.547276598780609	11.1206637345209	9.95287668273815e-29	3.31582617077798e-26
ENSG00000104936.17	2735.25576480986	-2.14812875508102	0.193273360153185	-11.1144585750382	1.06695865661667e-28	3.4953565590762e-26
ENSG00000276043.4	2334.17904009349	2.39544784033026	0.216248930782318	11.0772702166171	1.6172843309217e-28	5.21136734567163e-26
ENSG00000196584.2	341.098562602177	2.34955440460318	0.212379418079247	11.0630042489638	1.89637295596324e-28	6.01211400361508e-26
ENSG00000170312.15	2551.31907744522	2.27012829750593	0.205876864525042	11.0266313932025	2.84315957766702e-28	8.87065788232111e-26
ENSG00000133895.14	2746.59155483718	1.20125436304008	0.108981980603128	11.0225044213006	2.97660224997736e-28	9.14188966024297e-26
ENSG00000182253.14	8540.53158688313	-5.19959606086692	0.471804186708739	-11.0206653678485	3.03805032106779e-28	9.187064170909e-26
ENSG00000112210.11	1084.68440598121	-2.79137085158087	0.255431540793208	-10.9280586215494	8.46398233677685e-28	2.52072783048009e-25
ENSG00000087586.17	1526.30150846059	2.31704158688117	0.212811423602935	10.887768840851	1.31830411793967e-27	3.86755011077943e-25
ENSG00000106034.17	433.510114142885	-3.9002845074363	0.358296394439286	-10.8856370534792	1.34951724204351e-27	3.90089866317755e-25
ENSG00000175063.16	3696.65826939633	2.55589782582269	0.235274559946653	10.8634687337306	1.72085789494449e-27	4.90220040333753e-25
ENSG00000150764.13	650.68156204756	-3.17079724644668	0.292016403644538	-10.85828469522	1.82138224673477e-27	5.11444134883125e-25
ENSG00000163157.14	13.1730020707863	-3.19072894677217	0.294381589266917	-10.8387516852459	2.25527305298863e-27	6.24361227176684e-25
ENSG00000108924.13	165.058849778255	-4.49440478276071	0.414781131978964	-10.8356056634433	2.33415655481957e-27	6.37224739465741e-25
ENSG00000075218.18	824.142110756218	2.3451353723706	0.216595328879476	10.8272666105165	2.55673696443003e-27	6.88427695518309e-25
ENSG00000267060.5	47.4254618418991	-2.87408363025595	0.265892852287142	-10.8091797336176	3.11442380647459e-27	8.27258301892763e-25
ENSG00000198932.12	321.011600175235	-3.06646279024073	0.28375565539085	-10.8067019352158	3.1996759848426e-27	8.36873579951672e-25
ENSG00000155858.5	443.344213585475	-1.76985501883879	0.163789438629909	-10.8056724148	3.23577493265807e-27	8.36873579951672e-25
ENSG00000142945.12	2101.52134063957	2.3285668878989	0.216604632288682	10.7503097385077	5.90629466013521e-27	1.50771594596906e-24
ENSG00000179051.13	12710.670240756	1.24735177166039	0.116544745425864	10.7027714299985	9.87788310333059e-27	2.48922654203931e-24
ENSG00000065534.18	8725.7895488564	-4.10381890118857	0.38403121649995	-10.6861596788685	1.1816292342239e-26	2.94001319340569e-24
ENSG00000121577.13	395.660099002686	-3.99016493743381	0.37377528173458	-10.675304474166	1.3282137274797e-26	3.26342112841761e-24
ENSG00000122952.16	2252.57557085051	2.1819145940977	0.204631997899661	10.6626266492672	1.52236116554668e-26	3.69426309505995e-24
ENSG00000129116.17	8539.97517195735	-3.11782330885684	0.293110160331665	-10.6370359366899	2.00403291031713e-26	4.80381352258458e-24
ENSG00000120738.7	12232.5287274869	-3.34105060730118	0.314487807849101	-10.6237842101157	2.31002497128653e-26	5.47058443802506e-24
ENSG00000162616.8	813.207314950922	-2.25382713064442	0.212636983599265	-10.5994126350662	2.99857538657146e-26	7.01666640457722e-24
ENSG00000134690.10	1454.2335181302	2.29294120161509	0.216564972328769	10.5877750079277	3.39567103173322e-26	7.85238938820567e-24
ENSG00000148180.16	21494.2411326924	-2.41087382280176	0.228441467208094	-10.5535735357785	4.89010631833074e-26	1.11767360224545e-23
ENSG00000147799.11	744.493109763612	1.69395342692619	0.16064180451868	10.5449103488452	5.3623975451272e-26	1.21153202467839e-23
ENSG00000150995.17	1203.97542673022	-2.83445321890547	0.26903635988621	-10.5355767529129	5.9219145751136e-26	1.32274037373219e-23
ENSG00000156113.20	723.5681695614	-3.99543903491788	0.379321004408843	-10.5331341752208	6.07765330495387e-26	1.34227363328285e-23
ENSG00000123570.3	140.24094443899	-3.50769755720002	0.333089307023749	-10.5308020498836	6.23013580369808e-26	1.36066165952766e-23
ENSG00000172403.10	7564.75138414296	-4.83377986742563	0.460403793980802	-10.4990009435656	8.72991497812013e-26	1.88566163527395e-23
ENSG00000196924.14	66766.3831586825	-3.24623874583921	0.310068375888836	-10.4694286753159	1.19361207451704e-25	2.55017814529424e-23
ENSG00000132837.14	19.8767330650304	-3.10364797918261	0.296910368400317	-10.4531478503237	1.41741039299278e-25	2.9957654499641e-23
ENSG00000029993.14	4584.64327250717	1.95758580386217	0.187825971809635	10.4223382155383	1.96072536561217e-25	4.10000189217796e-23
ENSG00000128016.5	15644.2517588199	-2.86292482317746	0.274791833640682	-10.4185222146049	2.04099740132987e-25	4.22293104426737e-23
ENSG00000197361.6	143.584051179984	-3.34026034011713	0.320652871925341	-10.4170604182047	2.07260266506477e-25	4.24365395672012e-23
ENSG00000160298.17	446.239358074978	2.45383879452087	0.23563550249485	10.4137057809211	2.1469782304868e-25	4.3506189792215e-23
ENSG00000123473.15	731.179197659526	2.13503358680094	0.205399395850052	10.3945465757825	2.62532609906445e-25	5.26565406155213e-23
ENSG00000103994.16	2169.51364502568	-1.58685867660669	0.15348111178222	-10.3391137722428	4.68853209795524e-25	9.30886736539476e-23
ENSG00000053254.15	2654.95374528576	-1.70578447449919	0.165105687951686	-10.3314700762965	5.07763554274497e-25	9.98060042281952e-23
ENSG00000280178.1	813.838884964884	4.85774363795579	0.470612058224574	10.3221826832956	5.59368467187344e-25	1.08860857336975e-22
ENSG00000173757.9	2972.15126400603	-1.1528742370126	0.111713951107176	-10.3198770215061	5.72964980577456e-25	1.10413722139515e-22
ENSG00000172348.14	713.474429053299	-3.16592161073805	0.306853694387259	-10.3173651438674	5.88150444061344e-25	1.12239661441454e-22
ENSG00000147166.10	70.5839958252033	-2.87762069685001	0.279039104651523	-10.3126072614221	6.1801531237232e-25	1.16606230723943e-22
ENSG00000134318.13	2711.47680201541	-1.36820229605589	0.132682507781743	-10.3118513429556	6.22896531644996e-25	1.16606230723943e-22
ENSG00000148516.21	1019.80725258324	-2.95501912759087	0.286594090335104	-10.3108166820037	6.296396656925e-25	1.16756578008036e-22
ENSG00000035403.16	8783.28620303043	-1.91770369044649	0.186094723289914	-10.3049869257116	6.69007745062944e-25	1.22840215876911e-22
ENSG00000154734.14	3968.68694737744	-3.31844117635083	0.322049398577349	-10.3041371634601	6.74946241081926e-25	1.22840215876911e-22
ENSG00000151320.10	238.957181489494	-3.79789147578415	0.369258377188665	-10.2851870408446	8.21823557551383e-25	1.48199668323211e-22
ENSG00000215784.5	307.957899464311	2.6266389586763	0.255416275207156	10.2837571981111	8.34111775065488e-25	1.49048191369884e-22
ENSG00000187741.14	1372.15719451514	2.02812399517339	0.19730020994549	10.2793808264762	8.72865378740109e-25	1.54567944905546e-22
ENSG00000123358.19	8759.39509082968	-3.65790205631533	0.356095663130194	-10.2722454527	9.39910748229094e-25	1.64954336314206e-22
ENSG00000086232.12	9031.47187650311	0.976816629823378	0.0951015180822861	10.2713042811598	9.4912678798511e-25	1.65097664996773e-22
ENSG00000051341.13	603.350464421206	2.27028823330921	0.221387141510022	10.254833310662	1.12570057349399e-24	1.94094477829805e-22
ENSG00000137124.6	2793.75347691423	-2.60553961423973	0.254448757706398	-10.2399384368235	1.31319903517062e-24	2.24454262915771e-22
ENSG00000065325.12	97.7810364613108	-5.04380679166742	0.492939158406112	-10.2321081733012	1.42385495840362e-24	2.41269767779152e-22
ENSG00000087448.9	1513.57048212134	-1.59862947847896	0.156330155076233	-10.2259828099025	1.51681457214032e-24	2.54824848119573e-22
ENSG00000198624.12	1983.03013476882	-2.73971127898817	0.268165779715238	-10.2164835569156	1.67300081468396e-24	2.78682237401931e-22
ENSG00000060718.18	1643.84927839937	5.40949078560737	0.53039663228866	10.1989538701734	2.00419570224189e-24	3.31045972464425e-22
ENSG00000106144.19	2546.77848962581	1.17522743042849	0.115286293172713	10.193990960121	2.10923388887134e-24	3.45492510997125e-22
ENSG00000188610.12	356.225062248449	2.4690879613945	0.242378903652306	10.1868930182819	2.26900107266743e-24	3.68590785821083e-22
ENSG00000115163.14	510.62768003465	2.55588998435946	0.251029754939358	10.1816216367534	2.39535837501836e-24	3.85927575568532e-22
ENSG00000113448.16	999.536971646349	-2.37777946033493	0.233711291152452	-10.1740033552075	2.59038111633171e-24	4.13955538395253e-22
ENSG00000077943.7	502.858768949497	-3.33672432698057	0.329096887946436	-10.1390333643133	3.70749982052978e-24	5.87698519938172e-22
ENSG00000072163.18	1452.75323013026	-3.30781271829793	0.326745929960577	-10.1235009069494	4.34586939093575e-24	6.83379269985864e-22
ENSG00000169607.12	748.261947889448	2.51735434086372	0.249016211074634	10.1091986340971	5.02939668271637e-24	7.84585882503754e-22
ENSG00000118496.4	820.757095065376	-1.5111064454016	0.149616309744124	-10.0998778006617	5.5311068445677e-24	8.56058552258446e-22
ENSG00000181856.14	236.031758193045	-4.53654361626832	0.449236676728915	-10.0983375829882	5.61865566004965e-24	8.62814809796374e-22
ENSG00000127564.16	1544.28696919329	2.41705480624246	0.239660182454243	10.0853415927944	6.41416944981903e-24	9.77340424074751e-22
ENSG00000187079.14	2632.91645474091	-2.0632778660053	0.20507324049741	-10.0611755146638	8.20131572705981e-24	1.24003893793144e-21
ENSG00000076555.15	666.174756588198	-2.75138661094554	0.273539787582219	-10.058451223	8.43142811007313e-24	1.26510038879082e-21
ENSG00000122786.19	13210.3064769584	-3.14320832756195	0.31299407501268	-10.0423892287246	9.92407792633073e-24	1.47778542212088e-21
ENSG00000117600.12	144.595819976569	-3.49175572372628	0.348074609345362	-10.0316300872775	1.10674146722893e-23	1.62397097877531e-21
ENSG00000150347.14	3097.92508385743	-2.02949055281925	0.202309799444146	-10.031597868197	1.10710272260832e-23	1.62397097877531e-21
ENSG00000152601.17	5201.5689040302	-1.3445125742035	0.134224052571396	-10.0169272827486	1.28433872478868e-23	1.86999718329232e-21
ENSG00000133874.1	485.39753496591	-2.10623003726883	0.210294279336881	-10.015631637296	1.30128002792751e-23	1.88073236977523e-21
ENSG00000166333.13	5101.52557915338	-1.66343411186142	0.166154547235183	-10.0113667639015	1.35862415283342e-23	1.94927856555428e-21
ENSG00000196550.10	350.457377972158	2.09012468046724	0.209168787557467	9.99252663303317	1.64338520467374e-23	2.34075214370051e-21
ENSG00000198947.14	768.458113427776	-3.79214637738704	0.379535359689273	-9.99154961606658	1.65966631426789e-23	2.34693532901077e-21
ENSG00000160949.16	1671.95202247309	1.76765722249629	0.176993462682333	9.98713283365089	1.73528387185564e-23	2.41905955923365e-21
ENSG00000168497.4	847.414952758564	-3.68565393662964	0.369018021260194	-9.98773426848682	1.72478974534563e-23	2.41905955923365e-21
ENSG00000165124.17	585.987553145688	-3.06228591711412	0.306868608621384	-9.97914361743136	1.88083048621427e-23	2.60349324204421e-21
ENSG00000197299.10	587.010686065866	1.79380035836667	0.180026697623439	9.96407967288697	2.18891711503749e-23	3.00876607085153e-21
ENSG00000128849.10	456.30618758442	-3.20396411552844	0.32172513923795	-9.9586999111026	2.31064462722435e-23	3.15402991616124e-21
ENSG00000076382.16	2575.4904945507	2.07890353014327	0.208944741612664	9.94953744276122	2.53358071995076e-23	3.43448707802429e-21
ENSG00000095637.20	3543.57636878936	-4.15052118969166	0.417205887334	-9.94837636691569	2.56331042069278e-23	3.45098833076283e-21
ENSG00000108861.8	3234.89636618542	-1.45648358818946	0.146433080379187	-9.94641090946057	2.6144258541142e-23	3.49586085635842e-21
ENSG00000008710.17	2777.02424443322	-1.59947572786487	0.160884947896437	-9.94173630770275	2.7400882502542e-23	3.63913342209436e-21
ENSG00000105011.8	1717.69880607596	2.06182107050955	0.207520907406808	9.93548600126211	2.91749756758749e-23	3.84874712674495e-21
ENSG00000085999.11	720.134083281498	2.24462869957472	0.22611433490174	9.92696327966179	3.17786284093003e-23	4.16427146675471e-21
ENSG00000143337.18	2432.75075978673	-1.21672158381137	0.12272156807025	-9.91448856907434	3.6009589648288e-23	4.68744698097185e-21
ENSG00000170271.10	354.161110269458	-2.8412169792481	0.286822460066701	-9.90583854063371	3.92662114993165e-23	5.07774113967477e-21
ENSG00000090889.11	1414.47170676644	2.24890415848054	0.227054508701144	9.90468839991463	3.97206298829134e-23	5.10293268613429e-21
ENSG00000182325.10	1723.91958070533	1.7045279251851	0.172299937379344	9.89279480370513	4.47360873621106e-23	5.70995151421848e-21
ENSG00000101057.15	4612.14148800465	2.79213257182814	0.282309732425885	9.89031638348197	4.58576306875592e-23	5.81533928254622e-21
ENSG00000112320.11	245.056854523755	-3.17163860910314	0.320773163622738	-9.88748115111434	4.71748099156654e-23	5.94402604937383e-21
ENSG00000110422.11	2976.42446722139	-1.62871489813778	0.164847720630445	-9.88011779543512	5.0773190020545e-23	6.35667403212633e-21
ENSG00000101335.9	23695.8709262052	-3.74529101001611	0.379208954976408	-9.87658904376115	5.25926809332484e-23	6.54279580015145e-21
ENSG00000129473.9	2282.47049894168	-1.53383571849121	0.155611546099291	-9.85682461835138	6.40427426014538e-23	7.91713300990047e-21
ENSG00000075073.14	201.631317282574	-4.19676725603597	0.425823785336237	-9.85564311002999	6.48005091383559e-23	7.96074254764702e-21
ENSG00000165480.15	661.262357471282	2.09869818789112	0.213041880564801	9.85110618779372	6.77936727270936e-23	8.27672317468169e-21
ENSG00000141052.17	462.744647539583	-4.55722002186216	0.462697070374432	-9.84925194830882	6.90560165264136e-23	8.37879667187152e-21
ENSG00000123243.14	1434.03091831795	-3.45220434952934	0.350571329252381	-9.84736646003374	7.03634938161769e-23	8.48506033405382e-21
ENSG00000143228.12	1013.61543694412	2.47895776579782	0.251815455072878	9.84434321189852	7.25112747964406e-23	8.63807040847779e-21
ENSG00000174282.11	3909.85123802421	-1.28955531941927	0.130986775324387	-9.84492759842131	7.20911144343909e-23	8.63807040847779e-21
ENSG00000155970.11	59.8137817652773	-3.23078752951695	0.328421646148975	-9.8373160460058	7.77575187218113e-23	9.20723968672243e-21
ENSG00000114268.11	942.140530880358	2.32881432607651	0.23696508660339	9.82766853740889	8.55769669406958e-23	1.00724602526127e-20
ENSG00000128591.15	6237.20180848369	-4.70225899699039	0.478592689437363	-9.82517932423581	8.77177748864953e-23	1.02629796617199e-20
ENSG00000159200.17	2701.49439854927	-2.61746353716952	0.26647711824061	-9.82247014096773	9.01080436956706e-23	1.04802586206041e-20
ENSG00000107758.15	2081.76214496197	-1.19987461494024	0.122373234201422	-9.80504129657385	1.07103185334861e-22	1.2383648299659e-20
ENSG00000180354.15	1407.48277509875	-2.08026700989694	0.212356997188779	-9.79608412925356	1.17035093434205e-22	1.34528760031739e-20
ENSG00000182534.13	4538.85045059284	-2.17158186570086	0.221778429586029	-9.79167302137695	1.22255992688459e-22	1.39713011179322e-20
ENSG00000101003.9	1116.21206203278	1.98240929185874	0.202527634875553	9.78833971510536	1.2635355340363e-22	1.43561008422066e-20
ENSG00000059915.16	714.359864754436	-3.74995035215932	0.38347196680589	-9.77894260014452	1.38651467459067e-22	1.56628347377898e-20
ENSG00000196666.4	5.4667535043444	-4.88570292008312	0.499841843434282	-9.77449764212365	1.44874241069035e-22	1.6272274756874e-20
ENSG00000197702.11	3050.66675859742	-1.71849333501808	0.175868277954149	-9.7714798541788	1.49255784403962e-22	1.6669157376388e-20
ENSG00000018408.14	2736.94764566024	-2.12065882445912	0.217091418511364	-9.76850600083997	1.53701798720463e-22	1.69728233463451e-20
ENSG00000136122.15	622.581011351525	1.64218933130993	0.168101150788476	9.769054665047	1.52871779549865e-22	1.69728233463451e-20
ENSG00000180198.15	4144.92746101562	1.48227620069189	0.151749617434949	9.76790733147843	1.54612555368584e-22	1.69780133425972e-20
ENSG00000127951.5	1277.57669073669	-3.50685055450273	0.359049491880563	-9.76703945780621	1.5594234557677e-22	1.70289041369833e-20
ENSG00000185774.14	33.577694518311	-2.10234636877234	0.215838364087092	-9.7403739027786	2.02806756072413e-22	2.19996634005133e-20
ENSG00000115275.11	4817.27704520313	1.14493703444331	0.117550884266518	9.73992702468697	2.0370058704179e-22	2.19996634005133e-20
ENSG00000022267.16	3654.11549732512	-4.15567563297677	0.426968590500067	-9.73297737922509	2.18113495961268e-22	2.3427534844889e-20
ENSG00000138180.15	1453.9068492909	2.2053954537512	0.226720302570837	9.72738404432106	2.30442876318412e-22	2.45733367868788e-20
ENSG00000111665.11	1221.67285381932	2.1195957687318	0.217908154202177	9.72701446851418	2.3128140545241e-22	2.45733367868788e-20
ENSG00000143878.9	11781.3048272573	-2.16950975320283	0.223169484998968	-9.72135484030381	2.4450622154975e-22	2.583878650958e-20
ENSG00000235173.6	2064.87186897722	1.39760185165099	0.14387458370064	9.71402881386599	2.62741727760712e-22	2.76173871703987e-20
ENSG00000126524.9	3419.02197135904	-1.17915971176121	0.12140019258292	-9.71299704451297	2.65415815192518e-22	2.77500705501284e-20
ENSG00000168079.16	411.598751201079	-4.84248788991109	0.498854787176362	-9.70720942124407	2.80922870739943e-22	2.9215978556954e-20
ENSG00000225697.10	1077.61428693431	1.83408142882707	0.189216419017233	9.69303529975391	3.22790197057744e-22	3.33465795132242e-20
ENSG00000151729.10	1325.50518743036	-1.71427478662934	0.176869069919787	-9.69233788251833	3.25002511830706e-22	3.33465795132242e-20
ENSG00000159433.11	293.497005235823	-2.41088473823933	0.248747158481445	-9.69210966250766	3.25729714414889e-22	3.33465795132242e-20
ENSG00000107159.12	1799.82798611651	4.94599904258955	0.511344652641076	9.6725349860288	3.9448336227194e-22	4.01759842943899e-20
ENSG00000088325.15	5095.18662550867	2.35374831797767	0.243368197585422	9.67155257478336	3.98289209400499e-22	4.03544984534856e-20
ENSG00000078804.12	2096.57330181538	-2.28015908196658	0.236149253215144	-9.65558455477835	4.65496797834297e-22	4.69220772216971e-20
ENSG00000146410.11	311.866840936046	2.04557655278723	0.211954272771145	9.65102767706841	4.86655548271258e-22	4.8804599269489e-20
ENSG00000189134.3	10.7433523045021	-3.11023936036504	0.322654636073566	-9.6395309802891	5.44361220779279e-22	5.43145388611041e-20
ENSG00000094804.9	1714.78379391039	2.00300261581772	0.207807316923359	9.6387492292028	5.4852227336703e-22	5.44533020469815e-20
ENSG00000107771.15	1741.77114587777	-1.31328862095322	0.136290841103211	-9.63592718573573	5.63806838153697e-22	5.54109360537454e-20
ENSG00000127528.5	873.989695148635	-2.80207976310062	0.290788507057165	-9.63614343447822	5.62620843749813e-22	5.54109360537454e-20
ENSG00000112208.11	1193.32922170972	-2.66058360265546	0.276287698995358	-9.62975772113603	5.98704727974006e-22	5.82581194705795e-20
ENSG00000162614.18	783.502071791097	-3.26115402165488	0.338637775589952	-9.63021333332796	5.96056018636969e-22	5.82581194705795e-20
ENSG00000196557.10	1234.47787026229	-3.46815595627917	0.360382430720994	-9.62354338234705	6.36016243686319e-22	6.15839176645236e-20
ENSG00000129810.14	455.547657211102	2.25336238971604	0.23444846794808	9.6113333963652	7.16154827720921e-22	6.90036239886393e-20
ENSG00000197381.15	1385.53454905579	-2.64497234769686	0.275310117591006	-9.60724716854095	7.45144844774086e-22	7.14466686286802e-20
ENSG00000117650.12	922.390070033219	2.23929000029861	0.233202053303415	9.60235970729258	7.81347587366357e-22	7.45542144527821e-20
ENSG00000131711.14	2157.0627815352	-3.33269728097893	0.347239062596489	-9.59770267797233	8.17460709289082e-22	7.76232256124937e-20
ENSG00000090006.17	4169.5605202433	-2.47721726739887	0.258167775569792	-9.59537750957301	8.36104584794984e-22	7.86338359747856e-20
ENSG00000120129.5	12430.3249434699	-3.0393915254065	0.316743102157226	-9.59576232191412	8.32990249724325e-22	7.86338359747856e-20
ENSG00000106617.13	907.11798330111	-1.70430849101283	0.177645147248499	-9.59389275423749	8.48229255867791e-22	7.93942583492252e-20
ENSG00000126218.11	94.6152223631513	-3.58660794358814	0.37387529992347	-9.59305935514409	8.55110945314828e-22	7.96590556450628e-20
