	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000112425.13	241.821128969954	-2.68850973806907	0.184877172735933	-14.5421400505143	6.55120999416125e-48	1.28770583645234e-43
ENSG00000163681.14	3284.98539630568	-2.68336762265957	0.185642440779194	-14.4544944108508	2.34847929152403e-47	2.30808544770982e-43
ENSG00000115556.13	145.740916202035	-3.30970825800801	0.243489054317086	-13.5928420572775	4.41593990150847e-42	2.89332382346835e-38
ENSG00000163380.15	17.7280168101591	-3.93201313266685	0.289948729034258	-13.5610635223797	6.81408817348809e-42	3.34844292845205e-38
ENSG00000112658.7	3363.43936490642	-1.71646469172003	0.129177585606595	-13.2876356502548	2.73071126543342e-40	1.07349721266719e-36
ENSG00000058272.15	3175.68076433533	-1.99018313393708	0.150196478588951	-13.2505312550216	4.48020514697325e-40	1.46771520614844e-36
ENSG00000183963.18	5841.66847959316	-3.24713008580279	0.24676407013829	-13.158844737741	1.51382817063612e-39	4.25082950314621e-36
ENSG00000148339.12	1405.26239922693	-2.58454827687821	0.196981279530602	-13.1207812388927	2.50340823222678e-39	6.1508740265812e-36
ENSG00000159176.13	17545.0383403788	-3.33692882288043	0.254581519833814	-13.1075060949385	2.98245287562871e-39	6.51367708037311e-36
ENSG00000143772.9	1889.92853578367	-2.17431693360899	0.166791343116427	-13.036149796403	7.62094234536427e-39	1.4979724274048e-35
ENSG00000116473.14	3399.2924292529	-1.54504840348364	0.118909256167159	-12.9935082708083	1.33179265258507e-38	2.3797923981102e-35
ENSG00000145012.12	7428.34957743931	-2.86685884583025	0.221369496024653	-12.9505595726296	2.33247632656971e-38	3.82059622292119e-35
ENSG00000125868.15	19670.7628543077	-1.98542676716769	0.155914238294479	-12.7340952878067	3.82251304592105e-37	5.77963972543264e-34
ENSG00000168906.12	8759.96484914201	-1.60884054470977	0.127735593898008	-12.5950840765211	2.24720363406309e-36	3.15507390222457e-33
ENSG00000077157.20	4408.85108542956	-3.86989517702636	0.307681706663717	-12.5775926654489	2.80446315134534e-36	3.67496851352294e-33
ENSG00000101605.12	276.140516969249	-4.49571845448439	0.358687641220569	-12.5337980399493	4.87699488724647e-36	5.99138821898229e-33
ENSG00000121671.11	1232.88102315998	-1.69793474598422	0.137225042581445	-12.3733592210509	3.64262173063319e-35	4.211727808078e-32
ENSG00000239474.6	82.3616145616016	-4.61130467767995	0.37383015972282	-12.3352933350777	5.84755790474048e-35	6.3855332319766e-32
ENSG00000091436.16	2832.67958426343	-3.09529030590918	0.252802358704971	-12.2439138691799	1.81085051302132e-34	1.87337250968142e-31
ENSG00000185437.13	185.551952665739	-2.95295449439907	0.241370263905349	-12.2341271315718	2.04289110164249e-34	2.00775337469424e-31
ENSG00000144655.14	2260.79266153429	-2.75455050629546	0.22566363898064	-12.206443708602	2.87169181224208e-34	2.68790353625859e-31
ENSG00000165410.14	1172.37692188438	-3.23298956131535	0.265144775396761	-12.1932991380936	3.37476883503907e-34	3.015202555524e-31
ENSG00000137076.18	15205.2927621045	-2.09697823318853	0.173268119388286	-12.1025047226911	1.02437173162333e-33	8.38960448199508e-31
ENSG00000198961.9	3220.4697535274	-1.89703524702321	0.156716270971994	-12.1049029258884	9.94870021271797e-34	8.38960448199508e-31
ENSG00000162062.14	453.122934637983	2.62200271282759	0.217099254740274	12.0774376492651	1.38983579609963e-33	1.09274449632538e-30
ENSG00000164283.12	649.342745596046	4.32054426281456	0.35874330162713	12.0435538258642	2.0972216395568e-33	1.58549955950494e-30
