	logFC	logCPM	F	PValue
ENSG00000126545.13	-3.12126546207264	4.45586144172741	503.402187442912	4.37876116386265e-108
ENSG00000004846.16	-3.09253280674621	4.98068702162528	723.539876485888	1.77438340672315e-152
ENSG00000124003.12	-3.04400372786195	4.54550544038364	390.290106267708	8.19988577891417e-85
ENSG00000105492.15	-3.02961722603324	5.10592380452688	608.414245969401	2.06345712091788e-129
ENSG00000000005.5	-3.02597999869764	5.15859859611365	1191.32750974862	4.66323477185983e-243
ENSG00000154493.17	-3.0125204441313	5.18854710374348	585.444661741633	9.01926794240899e-125
ENSG00000124343.12	-2.99746119365321	5.71287064392729	1564.82744764868	2.57503979625229e-246
ENSG00000259916.1	-2.99679180557468	4.38405414297671	761.162638173982	6.02591200897165e-160
ENSG00000188984.11	-2.97888872278123	4.23300879955099	246.73533886997	1.10857713399982e-52
ENSG00000133937.4	-2.96999199739095	5.09438710087818	1052.18737141814	2.44904174012214e-185
ENSG00000114638.7	-2.96470707551855	4.87345915019096	214.214305883339	7.11726413700793e-48
ENSG00000179300.3	-2.94162630609438	5.01565807994243	437.3258542412	1.57667171760739e-94
ENSG00000107831.12	-2.87801431735226	4.55527151368083	285.777602948376	5.43746077559177e-63
ENSG00000186971.3	-2.87013485956976	4.02996051206053	408.726618976445	3.7913706355182e-51
ENSG00000197891.11	-2.86345384728408	4.23712484741519	408.071573889712	7.28877319565477e-82
ENSG00000119614.2	-2.86338278902878	4.37530870077858	275.005880668579	5.91978587307216e-56
ENSG00000175065.11	-2.84500136572866	4.44354441580652	214.583796086065	5.94110504716838e-48
ENSG00000196468.7	-2.84109123404098	4.62888393942837	401.009572613403	4.99929929377062e-87
ENSG00000126251.6	-2.83242288105851	4.5285935716193	348.157345119222	4.7679207701335e-76
ENSG00000178462.11	-2.81494976858589	4.91705537104099	233.080581228958	7.115562626057e-52
ENSG00000204978.2	-2.77490849354904	4.89350357895432	587.861922994862	6.86174802370596e-101
ENSG00000159387.7	-2.76660322773985	5.51821043572694	1065.12101529572	3.82927972509102e-219
ENSG00000145832.12	-2.73970940424647	5.30850936480266	499.121087514248	9.30535829957841e-101
ENSG00000149124.10	-2.72294223882972	4.78009034448536	670.79223847511	5.98963471977065e-142
ENSG00000185640.5	-2.72264305605457	4.90724702189764	442.384321303144	1.43104777725371e-95
ENSG00000171402.14	-2.71333175554157	4.08005664408747	314.354181397644	1.53262502654356e-39
ENSG00000135903.18	-2.7040325286188	5.0574964828984	251.715604834146	8.16009109892474e-56
ENSG00000189431.7	-2.67875999361087	5.22309676316006	377.300578096991	4.11983330011962e-82
ENSG00000196600.12	-2.66237928797465	4.32235367962243	208.403642747544	1.21475019326535e-46
ENSG00000174325.4	-2.642604037783	4.22186522980812	224.082821850783	8.51195591835068e-44
ENSG00000162571.13	-2.63501308131677	5.15366391483306	809.621925222007	1.19527697032085e-151
ENSG00000166342.18	-2.63050511054162	5.27984829416127	507.320782728018	6.86947475906154e-109
ENSG00000128714.5	-2.62693260088765	4.45853620577552	246.850568900846	4.47259365360731e-54
ENSG00000214415.3	-2.6218152246339	4.04293701166218	366.424170077929	4.18540503743926e-38
ENSG00000169306.9	-2.61492961887368	4.97104810024874	331.182756302989	5.55210717237459e-59
ENSG00000179023.8	-2.59977612133182	5.07872208402647	247.990811243557	4.9946292699955e-55
ENSG00000187546.13	-2.59622769118104	5.37929170336134	1290.43961275236	1.84373548435865e-172
ENSG00000187550.8	-2.57399811229452	4.47741944192923	182.84299127702	3.37631180883512e-41
ENSG00000128313.2	-2.55799901090806	4.33062259757967	200.892348556485	7.04748725063289e-44
ENSG00000204003.8	-2.54895120047644	5.04364952637463	218.183620643439	1.01762369924047e-48
ENSG00000182077.10	-2.53951007574955	4.55113967927003	409.409255067845	9.13808216978435e-89
ENSG00000185610.6	-2.53448068752103	5.03488879015737	519.214905254191	1.95968962163149e-95
ENSG00000173253.14	-2.5324353823282	5.35309094656547	893.647844546031	7.70493101586263e-169
ENSG00000100448.3	-2.53212666731336	5.61089139232369	1010.09305783519	1.4628727684149e-190
ENSG00000183888.4	-2.52966861373323	5.04490676225023	154.58938219634	3.70706360976273e-35
ENSG00000139330.5	-2.52666758332232	4.44177226384977	155.089569659843	2.89523863799622e-35
ENSG00000257008.6	-2.51662636739916	4.65608438959406	265.108290104376	1.21003747930875e-58
ENSG00000111732.10	-2.49937874716053	4.70265968084254	264.108572426962	1.98061934498833e-58
ENSG00000205755.10	-2.4934931680213	4.67889019866867	300.11492366679	5.30552273652699e-66
ENSG00000204183.1	-2.47454319738706	4.23219990478991	179.015415882559	2.21394834230849e-40
ENSG00000159184.7	-2.45778686031957	4.64238647273283	252.187669936372	6.48645531477173e-56
ENSG00000183463.5	-2.45502274590804	4.33100524685273	170.725228488929	1.30556293019773e-38
ENSG00000234438.3	-2.4475565405683	4.64927906439941	233.67630103518	7.68241817711394e-49
ENSG00000095917.13	-2.44719783104068	5.46023267266881	658.054613998311	2.04676201532473e-139
ENSG00000130368.5	-2.44692202580953	4.67558360505584	164.472500584993	2.83665444203153e-37
ENSG00000263961.6	-2.37873638358	5.50515489034067	825.157846251975	2.04056414281881e-141
ENSG00000134160.13	-2.37595756718288	4.84694649232441	233.613687431582	5.48700584834375e-52
ENSG00000162723.9	-2.36551002730025	4.5158778658262	236.166229047003	1.58127770677652e-52
ENSG00000169224.12	-2.35621786762604	5.29511132948002	602.490228988344	8.38383986332379e-117
ENSG00000155622.6	-2.35128853432955	4.20808555950264	194.569212400088	1.1993616359013e-28
ENSG00000111262.4	-2.33587842365105	5.36939901884273	391.963353935346	3.73971555321496e-85
ENSG00000140873.15	-2.33154671513628	5.20383728905393	584.7631071106	1.2389836904793e-124
ENSG00000133665.12	-2.32565389573718	4.7668094192454	121.597524181143	4.55707090389281e-28
ENSG00000188770.9	-2.28411098830783	4.40766034353674	155.336310420827	5.23423744302705e-33
ENSG00000217236.1	-2.28310703131728	4.69820522490154	121.189280735181	5.58061688497132e-28
ENSG00000136944.17	-2.25231113373639	5.33278566029901	561.918619127225	1.35901825131441e-116
ENSG00000172938.3	-2.24872846630686	4.43292069310328	142.262520879391	1.6331965687617e-32
ENSG00000083782.7	-2.2484887300394	4.23605073932131	183.07632636579	3.03983679995157e-41
ENSG00000183733.6	-2.24423496380073	4.25409213678409	148.619817217774	8.16010758779271e-30
ENSG00000123977.9	-2.23989090377996	4.99586953216987	214.700345326493	5.61207846178823e-48
ENSG00000105989.8	-2.23039290457108	5.35860226279491	528.323188390083	3.56694320416145e-113
ENSG00000278685.4	-2.22312534013056	4.40165154041261	156.156428607019	1.71046655581211e-35
ENSG00000165816.12	-2.22080210988444	5.42888133665384	586.84412968322	4.12652743950086e-78
ENSG00000262406.2	-2.2125302092919	4.64110510178252	153.458569846229	6.47436496430203e-35
ENSG00000177984.6	-2.21011485108454	4.79205333745695	155.627634921807	2.22024665561061e-35
ENSG00000167332.7	-2.20335893808659	5.22545324507841	431.149953573868	2.95757056090089e-93
ENSG00000179813.6	-2.1985849056665	4.65122316902719	137.437110436877	1.77682415951504e-31
ENSG00000158497.2	-2.1898929824321	4.05429294067381	160.761837627536	7.75621002399108e-24
ENSG00000104371.4	-2.18473800393639	4.58642829257346	122.176921268498	3.41829219053485e-28
ENSG00000174963.17	-2.16761167396851	5.27136476901413	329.587005438804	3.58780738602079e-72
ENSG00000204595.1	-2.16248740659277	4.36423575187017	189.536052381089	1.26310858504416e-42
ENSG00000109471.4	-2.1612237031485	4.19892508520157	122.011253430224	5.28323442065732e-25
ENSG00000166947.11	-2.14282293194958	5.10435063901005	543.144904310015	3.42979531880673e-116
ENSG00000120088.14	-2.1268396377935	5.19434194034438	284.78160011201	3.25889763142203e-55
ENSG00000180785.8	-2.11557960830969	5.34836563236399	734.967577779779	1.41845920061128e-126
ENSG00000185038.14	-2.11052203800978	4.65164971842274	115.033529864758	1.1868406815392e-26
ENSG00000092377.13	-2.10983588334546	4.7458479663193	142.984209207231	1.14394431966108e-32
ENSG00000073734.8	-2.10753146515303	4.90258844130626	383.989095862016	1.68468884372078e-83
ENSG00000187997.11	-2.09395499708652	4.58972149313813	108.814619511561	2.61443857126097e-25
ENSG00000140465.13	-2.09128004561402	5.59461286765266	499.313098930764	2.97501324804509e-107
ENSG00000164458.9	-2.08473741449151	4.33056868283835	109.067786416139	2.30501214543621e-25
ENSG00000258873.2	-2.08453461445736	4.0951208773148	154.990196290745	2.96545194198513e-23
ENSG00000179097.5	-2.08115568687562	5.15104799363157	703.424831332524	4.05038457981971e-107
ENSG00000082556.10	-2.07840088082587	4.92741701343644	225.411609572277	2.99849066492405e-50
ENSG00000161905.12	-2.07702887636007	5.19406938754192	276.996783628518	3.8208331899689e-61
ENSG00000125726.10	-2.06799817273555	5.0231806497176	310.68348493875	3.22977919867756e-68
ENSG00000166220.12	-2.05789560636559	4.29594169558036	190.20334097833	3.60228118469418e-32
ENSG00000176194.17	-2.05256218488821	5.4675797986715	777.556890083716	3.43395433319193e-163
ENSG00000116031.8	-2.04314640187478	5.06188225947872	222.935954857699	1.00405971852393e-49
ENSG00000236279.6	-2.03039386009407	5.21841072872182	260.39876670489	1.19975195968819e-57
ENSG00000255587.7	-2.02916773064511	5.45878770805563	1086.6666735617	1.24365196247318e-114
ENSG00000131355.14	-2.02167447987236	4.75639970553111	175.359057629307	1.33602092374065e-39
ENSG00000198765.11	-2.01520607518661	4.42898423225769	242.784640108481	6.29391086310006e-54
ENSG00000137745.11	-2.01281748066996	4.29478725666938	106.526909889499	8.16445514666221e-25
ENSG00000255398.2	-2.00681083431016	5.50158381943438	388.701709484545	1.77429048946501e-84
ENSG00000149948.13	-2.00545005815727	5.27407534025534	312.070617001391	1.65429164746233e-68
ENSG00000231274.5	-1.99831332408183	4.96372555148995	396.160524089741	1.20985961166483e-85
ENSG00000197921.5	-1.99782533956441	5.26447127531984	247.157182654346	3.49821061117817e-54
ENSG00000104237.6	-1.99771757746893	4.50570194369399	160.275178928269	2.24423439262943e-36
ENSG00000188394.6	-1.99303351933863	4.97022359898259	290.389052466877	5.83995256789646e-64
ENSG00000186493.11	-1.9913863044785	5.52828769660199	487.975085656659	6.21560422152982e-105
ENSG00000149534.8	-1.98656488093596	5.55705763290186	749.771821193599	1.66620309887861e-134
ENSG00000214860.4	-1.98281605987249	5.01996145325802	207.519735416972	1.88088728118251e-46
ENSG00000172538.6	-1.98149839647757	4.30667575120833	94.5821042612916	3.14474195742199e-22
ENSG00000153303.16	-1.97320567099351	5.25676706332493	504.298740082119	2.84681992785877e-108
ENSG00000169688.10	-1.97101734819673	3.97732218926284	177.644941359722	1.92114553209253e-19
ENSG00000176635.17	-1.96497915425741	4.447361625513	149.225552524299	2.19784637916975e-28
ENSG00000127074.14	-1.95173860399435	5.22345086991238	445.271948649138	1.12122652486274e-95
ENSG00000128713.12	-1.9467325296656	4.66729985675509	205.365445594013	1.18315718299941e-44
ENSG00000158485.10	-1.94516871057819	4.41802057633134	137.424674137594	1.78779279862888e-31
ENSG00000165478.6	-1.93983533587568	5.50741410546199	624.910490604189	9.76870377812589e-133
ENSG00000178734.5	-1.93758509936545	4.75109473855354	143.648020223358	8.23310353871792e-33
ENSG00000197506.7	-1.93508827838439	5.53256199689666	448.925989223003	6.44174174167995e-97
ENSG00000174145.7	-1.92059208779121	5.17300179102859	390.379947253793	7.9628084174586e-85
ENSG00000119919.10	-1.92047693952407	4.84978794214476	196.940264680901	3.34588904198993e-44
ENSG00000145536.15	-1.91984799831844	5.34203836726941	460.57359555319	2.59422425614151e-99
ENSG00000185897.6	-1.91189888343351	5.11872115357637	437.779731236907	1.27119303092769e-94
ENSG00000163081.2	-1.90923319045872	4.24323293452807	83.6052428299281	2.42535345712984e-18
ENSG00000255833.1	-1.90509001724768	4.74382226984573	90.4610204608208	2.45997259057742e-21
ENSG00000156574.9	-1.90400942214332	5.27655531074406	654.512006224102	9.03021334811895e-79
ENSG00000167210.16	-1.90340924982429	5.39892174662809	796.985103022795	9.87263151234023e-114
ENSG00000125813.13	-1.90266351729839	4.66935091328054	97.2119907187123	8.46624770472402e-23
ENSG00000089225.19	-1.89962161457579	5.48623545225257	393.604181182973	1.7091436517615e-85
ENSG00000181143.15	-1.89024188432644	5.08719846558845	210.763214883881	3.84780876699232e-47
ENSG00000186191.7	-1.88783749282655	4.37287988455152	123.915177769291	1.44293890869214e-28
ENSG00000176177.9	-1.88209629037051	4.60215490706652	94.3869939862087	3.46640301413632e-22
ENSG00000166960.16	-1.8739520923308	5.29241333806169	801.551322083309	1.49580381839447e-126
ENSG00000112486.14	-1.87179626239614	5.12951392569795	114.600045643111	1.47214150268963e-26
ENSG00000242550.5	-1.87039164635368	4.66039963327015	122.51932117171	2.88415585627422e-28
ENSG00000104055.14	-1.86699140929154	5.31007396591906	346.443951608788	1.08525122733793e-75
ENSG00000125337.16	-1.8627274544791	5.16097340221973	536.630068124248	1.94901592381666e-85
ENSG00000170577.7	-1.86048883690613	5.58791128866481	934.058880838289	7.1957601314134e-137
ENSG00000042304.10	-1.85892667482178	4.10210408754566	133.181472241125	2.78424371136788e-19
ENSG00000164825.3	-1.85441692569589	5.45147569911237	309.570416200989	5.52541428920612e-68
ENSG00000174226.8	-1.85385889488467	5.16111744911976	277.546062830596	2.92799312670142e-61
ENSG00000174697.4	-1.85055878597867	5.53652135424698	724.776527252287	1.00695528845511e-152
ENSG00000165621.8	-1.84969604942483	5.30703791387047	517.505484976016	5.11344262741423e-88
ENSG00000227234.1	-1.83901674531992	4.14585777110618	112.156183300654	8.46183487286618e-20
ENSG00000240654.6	-1.835178018931	5.34205678895677	641.686944389001	1.27329126025225e-101
ENSG00000151834.15	-1.82633979681074	5.60886132001589	717.196132395188	7.15697604990909e-96
ENSG00000172367.15	-1.82351813387628	5.10494897752103	395.049414224953	5.54919186960719e-77
ENSG00000070526.14	-1.81450913174024	5.86162728019338	804.923292529592	2.73273155650173e-110
ENSG00000162771.7	-1.8075864496675	4.51702716598432	86.7626505504594	1.56370567297906e-20
ENSG00000270765.5	-1.80445226969663	5.23828264855698	387.574013231008	4.36286995197188e-74
ENSG00000168754.13	-1.80055593780695	5.56261648086576	606.724819023746	2.16332887708697e-88
ENSG00000179913.10	-1.79933579190847	5.21170476133519	176.87654085259	6.33535339493621e-40
ENSG00000205810.8	-1.79919666521557	4.6958344615598	92.2403476028796	1.012361143854e-21
ENSG00000221932.6	-1.79145973953232	5.58521281653974	763.626399534937	2.39991479798487e-134
ENSG00000181001.1	-1.78955957855455	4.05003389444335	115.824904051004	1.54543650482739e-19
ENSG00000081479.12	-1.78674308771941	5.38376616741249	237.381173514695	8.7477241724963e-53
ENSG00000184995.7	-1.78256787451086	4.63549984414644	56.0851471691229	7.70061999013155e-14
ENSG00000005102.12	-1.78144768858294	5.85505722667484	1689.4239528536	9.52611256291472e-173
ENSG00000111537.4	-1.78135745015059	4.56868518070612	91.2750015962048	1.6395641115538e-21
ENSG00000170381.12	-1.7805705646057	5.68817092705433	889.582141413725	1.37552800278823e-109
ENSG00000172987.12	-1.77745731156733	5.84632184510614	818.781604141157	2.75269004309123e-102
ENSG00000206013.2	-1.77726355324517	4.39049038776079	86.6976486832634	1.61536993912908e-20
ENSG00000170374.5	-1.77382610135209	4.71910029811279	197.337968005562	3.09480028719925e-44
ENSG00000197953.5	-1.76656716017928	4.87547229051405	202.547046656508	2.14566967128801e-45
ENSG00000114248.9	-1.76219193857111	4.59145850794703	60.4512068159938	8.50832598666076e-15
ENSG00000171954.12	-1.76070953053057	5.29520669921615	328.105709912608	7.3055757796918e-72
ENSG00000170162.13	-1.76050281114159	4.76436524173543	91.2161002165537	1.68921997196225e-21
ENSG00000221870.2	-1.75363044945729	4.96945502161967	168.977932172028	4.0985200562186e-35
ENSG00000104970.10	-1.75000305505331	4.69241721684577	120.661890137834	7.25054865773149e-28
ENSG00000162365.11	-1.74389128077798	5.06660206196582	409.049795834009	8.10423305502974e-72
ENSG00000277288.3	-1.74371832190531	5.1594783906349	473.854414267501	4.65016633037932e-74
ENSG00000166090.8	-1.7435455803181	4.47042995927868	117.104082073738	4.15048330080487e-26
ENSG00000130876.11	-1.73639450008778	5.42984286448527	679.733116634553	9.73019015564149e-144
ENSG00000181009.4	-1.73583021906941	4.02251512713756	116.444281956861	9.49046801572899e-18
ENSG00000257341.5	-1.73350928771476	5.02226408678752	286.513343895936	4.29838611458456e-62
ENSG00000258973.1	-1.73220041974953	4.87741448371603	251.623395394192	8.5343009393566e-56
ENSG00000182782.7	-1.72812635138213	5.72098956860309	708.129583888306	1.59574689507423e-136
ENSG00000166396.12	-1.72550673359338	5.05544167121357	153.509550233208	6.31593217074454e-35
ENSG00000169933.12	-1.72433640346932	5.33316578588209	230.787610184868	2.17668053865899e-51
ENSG00000171496.3	-1.7226170453556	4.60179155190356	165.083032271828	2.49185621973467e-33
ENSG00000258691.1	-1.71734590497459	4.59112323092686	132.888608616488	1.68879161762757e-30
ENSG00000138435.14	-1.71499478401903	5.00939012134938	135.38687051669	4.90172790814152e-31
ENSG00000180730.4	-1.71483283103579	5.48272749352131	554.486446146335	3.03779335475921e-79
ENSG00000205057.4	-1.71437229643479	4.18755738449503	57.282402997312	4.20814320494278e-14
ENSG00000215262.7	-1.71398981149892	4.22326996701121	85.9941415858621	3.03320562350852e-17
ENSG00000077274.8	-1.71129843879698	5.59446889361758	503.029574162365	1.85589846546678e-87
ENSG00000154478.3	-1.70713735218434	5.13911099024398	224.886211795462	1.09108204782832e-47
ENSG00000205549.8	-1.70569537516233	4.04957794223369	97.0142426813305	5.34604044685585e-15
ENSG00000172421.7	-1.70530502760613	4.21558261245158	95.6919620445108	2.16415510710505e-20
ENSG00000183840.6	-1.70461324523334	5.39652811809201	204.922657664514	6.70513645813126e-46
ENSG00000152672.7	-1.69986101551434	5.32741807591211	319.129501455174	1.24371069767972e-62
ENSG00000133317.14	-1.69962081212454	5.39075070252918	631.041010654623	5.70097696045549e-134
ENSG00000158764.6	-1.69914633376754	4.78547202173368	152.418273624294	1.08187153033812e-34
ENSG00000140287.10	-1.69657940541707	5.83473534785379	668.024739016166	1.53546989580779e-126
ENSG00000188730.4	-1.69452573849821	5.5053694005692	407.457410301429	3.29163993049745e-61
ENSG00000254636.1	-1.69305927535407	4.51997373365651	131.805925212474	2.8871662366113e-30
ENSG00000095777.14	-1.68815847351053	5.30307177677072	297.740391777331	5.20933905161487e-63
ENSG00000131668.13	-1.68686769507749	4.96051088111412	178.743859855983	2.53005724507378e-40
ENSG00000092607.13	-1.68513443308311	5.95346497314734	1712.57496763193	5.54223769407699e-150
ENSG00000166828.2	-1.68275014900364	5.54101424968067	228.061149936528	8.22977673178962e-51
ENSG00000171989.5	-1.6778349459883	4.95386371898842	305.190497075076	5.44691071903455e-51
ENSG00000279686.1	-1.6743757577953	4.65424587102002	135.483787277196	4.67351184413886e-31
ENSG00000165349.11	-1.67049962848009	4.8510902085985	76.9697561666363	2.10707071965205e-18
ENSG00000196666.4	-1.66897488752834	5.38448628708386	491.198141043986	1.18911795764619e-92
ENSG00000166391.14	-1.66877648147535	4.93604692967196	141.115356903128	2.88002015659666e-32
ENSG00000143595.12	-1.66777030506018	4.70494391535056	101.661097389017	9.21182249240123e-24
ENSG00000174776.10	-1.66107791421233	5.10591755952736	194.689730302047	9.79867682307936e-36
ENSG00000186652.9	-1.64969035126149	5.19609894161422	238.523544172929	5.01396055566182e-53
ENSG00000237693.4	-1.64908657307376	4.53109031901105	137.541224002525	1.68759890596754e-31
ENSG00000130656.4	-1.64664973588132	4.85919046602165	146.969100256582	1.59513491389197e-33
ENSG00000231924.9	-1.64431015041891	4.24772882482114	101.049816916145	1.24924325866583e-23
ENSG00000163673.6	-1.63930042131946	5.43750841648532	480.569608190189	1.05446441899676e-77
ENSG00000080224.17	-1.63915458747706	5.24406989557705	216.566033328054	7.1379788896574e-39
ENSG00000187048.12	-1.63776815137301	5.15078539854017	403.10833107061	3.4778433574195e-67
ENSG00000189430.12	-1.63728795513711	4.6652431816396	149.097874444566	5.57359423064827e-34
ENSG00000196917.5	-1.63598067110986	5.39022757354774	721.702891570964	2.47584840921512e-115
ENSG00000180116.15	-1.63016581687829	4.29332344982893	101.866191173945	8.31687945619889e-24
ENSG00000260007.1	-1.62814756100477	4.6226620076213	76.2554396121287	3.01464267589719e-18
ENSG00000116745.6	-1.62557893660882	4.55076789971465	60.9524660354294	6.60866835124307e-15
ENSG00000250254.1	-1.62431616834836	4.85878630141096	168.240055840659	8.85584670654962e-31
ENSG00000183378.11	-1.62424483823003	4.67856907922791	62.2380453119976	3.45766767113835e-15
ENSG00000149516.13	-1.62023037263058	4.62214291548664	70.9437778344754	4.33497599548715e-17
ENSG00000120907.17	-1.61027334143837	5.58951259307573	666.258480393455	3.45353329243026e-104
ENSG00000179673.4	-1.61020561033766	5.0890019175505	119.319439086546	1.41192886161697e-27
ENSG00000179059.9	-1.60933022117252	4.16904289396414	79.3090632213572	4.06151674360166e-15
ENSG00000185149.5	-1.60917796698661	4.94455458701965	111.28065621839	7.6670757019108e-26
ENSG00000182533.6	-1.60744124211128	5.14161122639346	181.062524650982	1.31988012662939e-40
ENSG00000178217.13	-1.60436078158175	4.79221874557328	205.533435795624	3.00061585276149e-42
ENSG00000259752.2	-1.60281987702463	4.02715128064855	88.7593169572308	4.34575690946401e-15
ENSG00000204420.8	-1.60103018037257	5.55798535154818	755.764975941947	4.78770121863796e-68
ENSG00000149968.11	-1.59884214500163	5.48837076708777	222.886724966324	1.02848637195499e-49
ENSG00000257127.6	-1.59811978163351	4.21976163562046	57.1887501477041	4.41159531169582e-14
ENSG00000107014.8	-1.5978978973676	4.75758942442899	98.2898277501198	4.94565259602469e-23
ENSG00000052850.5	-1.59544234854683	5.25435760548516	369.358055037473	3.5323067138152e-70
ENSG00000177494.5	-1.59091578057022	5.11284470957365	113.825051626988	2.16388179547036e-26
ENSG00000080511.3	-1.58642584752256	4.18916563219537	94.4108858792068	3.56205490386237e-18
ENSG00000187773.8	-1.58113824246961	5.45358943668717	234.551827313271	2.99451291567887e-43
ENSG00000167633.16	-1.57932012722376	4.64660993155468	149.321857069665	4.98995311556235e-34
ENSG00000146910.11	-1.5773338301019	4.55793310632143	58.944075796094	4.80570312272691e-14
ENSG00000168779.19	-1.57638021050601	5.72312866315032	684.100670287734	2.4849613142779e-108
ENSG00000129455.15	-1.56954526932012	5.06638959174862	109.747779252071	1.64343326681722e-25
ENSG00000198796.6	-1.56685786330605	5.59065465837334	377.022546317071	3.16915269533697e-76
ENSG00000131055.4	-1.56004490685085	5.74576808380836	1469.9322209514	7.06207672993557e-108
ENSG00000253831.1	-1.55838232985618	4.30484544703445	54.6075702250983	1.62434480150323e-13
ENSG00000184811.3	-1.55807929885006	5.66316269215634	924.714475722899	3.89910063928286e-173
ENSG00000198889.4	-1.55557905048477	4.58322280361913	89.1043050602047	4.85011610751224e-21
ENSG00000244094.1	-1.55053131414367	4.63183514238262	77.2425635569906	1.83771533410469e-18
ENSG00000170561.12	-1.54820567421441	5.72042156794841	436.559592022229	2.26806776778221e-94
ENSG00000144227.4	-1.54408614674452	4.33219648060785	60.9225881756683	1.73763019017887e-14
ENSG00000134962.6	-1.54327609872978	5.51557136943898	775.916131006659	9.57709236355396e-123
ENSG00000205358.3	-1.53886152213578	5.23717963554967	101.570075266704	9.63928131961798e-24
ENSG00000183318.11	-1.53612347806493	4.21292644286917	60.6596867977383	2.87198980085356e-13
ENSG00000186335.8	-1.53597049983428	4.89866037275352	165.245525639317	1.93838155501528e-37
ENSG00000255071.3	-1.53275574511112	4.67958602357759	134.706614989933	6.86447985228507e-31
ENSG00000147145.12	-1.53207655806911	5.17327887617639	321.558360673585	2.90886717622967e-55
ENSG00000125498.19	-1.5296993716724	4.60758592579056	137.642641466584	1.60499557724137e-31
ENSG00000156689.6	-1.52480021522643	5.03052952057871	138.550526464358	1.02418819675026e-31
ENSG00000035720.7	-1.52171370169902	5.12246437120167	187.380749893717	3.63751343230558e-42
ENSG00000146926.10	-1.52159619871115	4.70926140063982	68.7846216216519	1.28276434486638e-16
ENSG00000006377.10	-1.52123019478863	5.15149711860807	199.847166365821	8.0517160385869e-45
ENSG00000182931.9	-1.52010458427652	4.57794261767243	80.9727145732162	2.83487231884971e-19
ENSG00000187268.11	-1.51942662066688	4.65623874569463	118.267584511992	2.38041519694913e-27
ENSG00000243772.6	-1.51925197290898	4.6163689486578	137.748590731402	1.52301767655153e-31
ENSG00000277971.1	-1.51906676471538	4.09087987703309	57.3121508627471	5.01286637727157e-14
ENSG00000183625.14	-1.51851176678868	4.71218799324998	94.3812654026324	3.47632896781249e-22
ENSG00000164047.4	-1.51822215315168	5.00223953762006	128.952866586169	1.18689562331624e-29
ENSG00000166926.8	-1.51775349782647	4.45155907099172	155.356194782495	2.53838404234248e-35
ENSG00000170370.11	-1.51712877652571	5.78424483519619	553.707475222524	1.34045832712924e-104
ENSG00000255872.3	-1.5166293043425	4.37335826411325	72.0719435673662	2.45997937314409e-17
ENSG00000241690.3	-1.51462223261851	4.24241352695269	135.301671485569	1.88999519522463e-26
ENSG00000105664.10	-1.51142433146374	6.02686167375172	683.205109782726	3.70041338226115e-130
ENSG00000139304.12	-1.51048066741588	5.57666977892576	365.487321034823	1.17473137805069e-79
ENSG00000186509.4	-1.50734974118413	3.98201220876109	107.512155006519	3.50107379310822e-12
ENSG00000183542.5	-1.50734208753245	4.89810681524831	128.1492168111	1.76768734878819e-29
ENSG00000280188.1	-1.50696904481324	4.12465391602873	72.0813199550796	2.19690300513611e-14
ENSG00000221946.7	-1.5050878787227	5.66878731940783	749.9376533491	4.34440227738335e-70
