	logFC	logCPM	F	PValue
ENSG00000123407.3	-4.44459824037664	4.70735641060805	679.162996075588	1.27385378728466e-143
ENSG00000064218.4	-4.29318359527508	5.04489381301076	881.679303059212	1.19361954183248e-183
ENSG00000185960.12	-4.23876185325646	4.6513065817929	662.596068327098	2.74004457744906e-140
ENSG00000137675.4	-4.00570956808418	4.78699035944806	653.223929680287	1.98997536540568e-138
ENSG00000092009.10	-3.94820880701082	5.14267574699126	868.075568540206	5.44116508853394e-181
ENSG00000162761.14	-3.83537362186774	4.95905713230487	677.8530816541	2.31313297229891e-143
ENSG00000183695.2	-3.81855267705876	4.6690181595993	592.151547971192	3.97031759096497e-126
ENSG00000204687.4	-3.78318684511554	4.5109828810237	438.337529023557	9.75605607288959e-95
ENSG00000170549.3	-3.68778195421922	5.41882020851849	871.759943909292	1.03554827899623e-181
ENSG00000187871.2	-3.68231780547217	4.10358471326887	609.756579818814	4.05945127990516e-84
ENSG00000112246.9	-3.65842749668714	4.913631656487	539.96487200012	1.52766575191069e-115
ENSG00000186458.4	-3.64195744738447	4.26875017630999	968.714487753601	6.03836955383635e-166
ENSG00000186766.7	-3.62156976420364	4.98032615032925	836.030651000908	4.53687491030596e-140
ENSG00000123388.4	-3.53112524125572	4.95433401101328	506.682754753564	9.27385539541685e-109
ENSG00000198759.11	-3.43700035919116	5.29618093323684	912.578251564631	1.13071009932219e-189
ENSG00000205186.2	-3.43295395737926	4.17582469097483	426.356445386961	4.25994958769079e-82
ENSG00000229637.3	-3.35226865517196	4.30123367081888	410.477604247558	5.91216313823529e-71
ENSG00000150750.6	-3.28902486362145	4.73537258471082	415.338921912717	5.43272581269245e-90
ENSG00000123364.4	-3.25018386814368	4.75897418684232	345.954751367262	1.37513261216868e-75
ENSG00000188991.3	-3.14960973815281	4.28441965727314	478.700034909841	5.46594696831574e-68
ENSG00000180475.4	-3.14056320962374	4.1151129250617	314.580952799434	3.7099157324438e-53
ENSG00000148513.17	-3.12937261044204	4.38337779611702	551.495088156847	1.1220693139651e-106
