	hk_gene	gene_id
55	ADK	ENSG00000156110.13
56	ADNP	ENSG00000101126.15
57	ADO	ENSG00000181915.4
58	ADPRH	ENSG00000144843.11
59	ADPRHL2	ENSG00000116863.10
60	ADPRM	ENSG00000170222.11
61	ADSL	ENSG00000239900.11
62	AES	ENSG00000104964.14
63	AFF4	ENSG00000072364.12
64	AFTPH	ENSG00000119844.14
65	AGFG1	ENSG00000173744.17
66	AGGF1	ENSG00000164252.12
67	AGPAT1	ENSG00000228892.9
68	AGPAT3	ENSG00000160216.18
69	AGPAT6	ENSG00000158669.11
70	AGPS	ENSG00000018510.12
71	AHCY	ENSG00000101444.12
72	AHSA1	ENSG00000100591.7
73	AIMP1	ENSG00000164022.16
74	AIP	ENSG00000110711.9
75	AK2	ENSG00000004455.16
76	AK3	ENSG00000147853.16
77	AKAP8	ENSG00000105127.8
78	AKAP9	ENSG00000127914.16
79	AKIP1	ENSG00000166452.11
80	AKIRIN1	ENSG00000174574.15
81	AKIRIN2	ENSG00000135334.8
82	AKR1A1	ENSG00000117448.13
83	AKR7A2	ENSG00000053371.12
84	AKT1	ENSG00000142208.15
85	AKT1S1	ENSG00000204673.10
86	AKTIP	ENSG00000166971.16
87	ALAD	ENSG00000148218.15
88	ALDH3A2	ENSG00000072210.18
89	ALDH9A1	ENSG00000143149.12
90	ALG11	ENSG00000253710.2
91	ALG5	ENSG00000120697.8
92	ALG8	ENSG00000159063.12
93	ALG9	ENSG00000086848.14
94	ALKBH1	ENSG00000100601.9
95	ALKBH2	ENSG00000189046.10
96	ALKBH3	ENSG00000166199.12
97	ALKBH5	ENSG00000091542.8
98	ALS2	ENSG00000003393.14
99	ALYREF	ENSG00000183684.7
100	AMBRA1	ENSG00000110497.14
101	AMD1	ENSG00000123505.14
102	ANAPC10	ENSG00000164162.12
103	ANAPC11	ENSG00000141552.17
104	ANAPC13	ENSG00000129055.12
105	ANAPC15	ENSG00000110200.8
106	ANAPC16	ENSG00000166295.8
107	ANAPC2	ENSG00000176248.8
108	ANAPC5	ENSG00000089053.12
109	ANAPC7	ENSG00000196510.12
110	ANKFY1	ENSG00000185722.16
111	ANKH	ENSG00000154122.12
112	ANKHD1	ENSG00000131503.20
113	ANKHD1-EIF4EBP3	ENSG00000254996.5
114	ANKRD10	ENSG00000088448.14
115	ANKRD17	ENSG00000132466.17
116	ANKRD28	ENSG00000206560.10
117	ANKRD39	ENSG00000213337.8
118	ANKRD46	ENSG00000186106.11
119	ANO6	ENSG00000177119.15
120	ANP32A	ENSG00000140350.15
121	ANP32B	ENSG00000136938.8
122	ANP32C	ENSG00000248546.3
123	ANP32E	ENSG00000143401.14
124	ANXA6	ENSG00000197043.13
125	ANXA7	ENSG00000138279.15
126	AP1B1	ENSG00000100280.16
127	AP1G1	ENSG00000166747.12
128	AP1M1	ENSG00000072958.8
129	AP2A1	ENSG00000196961.12
130	AP2A2	ENSG00000281385.2
131	AP2M1	ENSG00000161203.13
132	AP2S1	ENSG00000042753.11
133	AP3B1	ENSG00000132842.13
134	AP3D1	ENSG00000065000.15
135	AP3M1	ENSG00000185009.12
136	AP3S1	ENSG00000177879.14
137	AP3S2	ENSG00000157823.16
138	AP4B1	ENSG00000134262.12
139	AP5M1	ENSG00000053770.11
140	APEH	ENSG00000164062.12
141	APEX1	ENSG00000100823.11
142	APEX2	ENSG00000169188.4
143	APH1A	ENSG00000117362.12
144	API5	ENSG00000166181.12
145	APIP	ENSG00000149089.12
146	APOA1BP	ENSG00000163382.11
147	APOL2	ENSG00000128335.13
148	APOOL	ENSG00000155008.13
149	APOPT1	ENSG00000256053.7
150	APPL2	ENSG00000136044.11
151	APTX	ENSG00000137074.18
152	ARAF	ENSG00000078061.12
153	ARCN1	ENSG00000095139.13
154	ARF1	ENSG00000143761.13
155	ARF5	ENSG00000004059.10
156	ARF6	ENSG00000165527.6
157	ARFGAP2	ENSG00000149182.14
158	ARFGAP3	ENSG00000242247.10
159	ARFGEF2	ENSG00000124198.8
160	ARFIP1	ENSG00000164144.14
161	ARFIP2	ENSG00000132254.12
162	ARFRP1	ENSG00000101246.19
163	ARHGAP35	ENSG00000160007.17
164	ARHGAP5	ENSG00000100852.12
165	ARHGDIA	ENSG00000141522.11
166	ARHGEF10L	ENSG00000074964.16
167	ARHGEF11	ENSG00000132694.18
168	ARHGEF40	ENSG00000165801.9
169	ARIH1	ENSG00000166233.12
170	ARIH2	ENSG00000177479.19
171	ARIH2OS	ENSG00000221883.2
172	ARL1	ENSG00000120805.13
173	ARL14EP	ENSG00000152219.4
174	ARL5A	ENSG00000162980.16
175	ARL6IP4	ENSG00000182196.13
176	ARL8A	ENSG00000143862.7
177	ARL8B	ENSG00000134108.12
178	ARMC1	ENSG00000104442.9
179	ARMC10	ENSG00000282813.1
180	ARMC5	ENSG00000140691.16
181	ARMC6	ENSG00000105676.13
182	ARMC7	ENSG00000125449.6
183	ARMC8	ENSG00000114098.17
184	ARMCX3	ENSG00000102401.19
185	ARMCX5	ENSG00000125962.14
186	ARNT	ENSG00000143437.20
187	ARPC1A	ENSG00000241685.8
188	ARPC2	ENSG00000163466.15
189	ARPC5L	ENSG00000136950.13
190	ARV1	ENSG00000173409.13
191	ASB1	ENSG00000065802.11
192	ASB6	ENSG00000148331.11
193	ASB7	ENSG00000183475.12
194	ASB8	ENSG00000177981.10
195	ASCC1	ENSG00000138303.17
196	ASCC3	ENSG00000112249.13
197	ASF1A	ENSG00000111875.7
198	ASH2L	ENSG00000129691.15
199	ASNA1	ENSG00000198356.11
200	ASNSD1	ENSG00000138381.9
201	ASPSCR1	ENSG00000169696.15
202	ASUN	ENSG00000064102.14
203	ASXL1	ENSG00000171456.16
204	ATAD1	ENSG00000138138.13
205	ATAD3A	ENSG00000197785.13
206	ATE1	ENSG00000107669.17
207	ATF1	ENSG00000123268.8
208	ATF2	ENSG00000115966.16
209	ATF4	ENSG00000128272.14
210	ATF6	ENSG00000118217.5
211	ATF7	ENSG00000170653.18
212	ATF7IP	ENSG00000171681.12
213	ATG12	ENSG00000145782.12
214	ATG13	ENSG00000175224.16
215	ATG16L1	ENSG00000085978.21
216	ATG2A	ENSG00000110046.12
217	ATG2B	ENSG00000066739.11
218	ATG3	ENSG00000144848.10
219	ATG4B	ENSG00000168397.16
220	ATG4D	ENSG00000130734.9
221	ATG5	ENSG00000057663.12
222	ATG7	ENSG00000197548.12
223	ATIC	ENSG00000138363.14
224	ATL2	ENSG00000119787.13
225	ATMIN	ENSG00000166454.9
226	ATOX1	ENSG00000177556.11
227	ATP2C1	ENSG00000017260.19
228	ATP5A1	ENSG00000152234.15
229	ATP5B	ENSG00000110955.8
230	ATP5C1	ENSG00000165629.19
231	ATP5D	ENSG00000099624.7
232	ATP5F1	ENSG00000116459.10
233	ATP5G2	ENSG00000135390.17
234	ATP5G3	ENSG00000154518.9
235	ATP5H	ENSG00000167863.11
236	ATP5J	ENSG00000154723.12
237	ATP5J2	ENSG00000241468.7
238	ATP5J2-PTCD1	ENSG00000248919.7
239	ATP5L	ENSG00000167283.7
240	ATP5O	ENSG00000241837.6
241	ATP5S	ENSG00000125375.14
242	ATP5SL	ENSG00000105341.18
243	ATP6AP1	ENSG00000071553.16
244	ATP6V0A2	ENSG00000185344.13
245	ATP6V0B	ENSG00000117410.13
246	ATP6V0C	ENSG00000185883.10
247	ATP6V0D1	ENSG00000159720.11
248	ATP6V0E1	ENSG00000113732.8
249	ATP6V1C1	ENSG00000155097.11
250	ATP6V1D	ENSG00000100554.11
251	ATP6V1E1	ENSG00000131100.12
252	ATP6V1F	ENSG00000128524.4
253	ATP6V1G1	ENSG00000136888.6
254	ATP6V1H	ENSG00000047249.16
255	ATPAF2	ENSG00000171953.15
256	ATPIF1	ENSG00000130770.17
257	ATRAID	ENSG00000138085.16
258	ATRN	ENSG00000088812.17
259	ATXN10	ENSG00000130638.15
260	ATXN1L	ENSG00000224470.7
261	ATXN2	ENSG00000204842.14
262	ATXN2L	ENSG00000168488.18
263	ATXN7L3	ENSG00000087152.15
264	ATXN7L3B	ENSG00000253719.3
265	AUH	ENSG00000148090.11
266	AUP1	ENSG00000115307.16
267	AURKAIP1	ENSG00000175756.13
268	AXIN1	ENSG00000103126.14
269	AZI2	ENSG00000163512.13
270	AZIN1	ENSG00000155096.13
271	B3GALT6	ENSG00000176022.4
272	B4GALT3	ENSG00000158850.14
273	B4GALT5	ENSG00000158470.5
274	B4GALT7	ENSG00000027847.13
275	BABAM1	ENSG00000105393.15
276	BAD	ENSG00000002330.13
277	BAG1	ENSG00000107262.16
278	BAG4	ENSG00000156735.10
279	BAG6	ENSG00000233348.10
280	BAHD1	ENSG00000140320.11
281	BANF1	ENSG00000175334.7
282	BAP1	ENSG00000163930.9
283	BAZ1B	ENSG00000009954.10
284	BBS4	ENSG00000140463.13
285	BCAP29	ENSG00000075790.10
286	BCAP31	ENSG00000185825.15
287	BCAS2	ENSG00000116752.5
288	BCAT2	ENSG00000105552.14
289	BCCIP	ENSG00000107949.16
290	BCKDHA	ENSG00000248098.10
291	BCKDK	ENSG00000103507.13
292	BCL2L1	ENSG00000171552.12
293	BCL2L13	ENSG00000099968.17
294	BCL2L2-PABPN1	ENSG00000258643.5
295	BCL7B	ENSG00000106635.7
296	BCLAF1	ENSG00000029363.15
297	BCS1L	ENSG00000074582.12
298	BECN1	ENSG00000126581.12
299	BFAR	ENSG00000275618.2
300	BIRC2	ENSG00000110330.8
301	BIVM-ERCC5	ENSG00000270181.1
302	BLMH	ENSG00000108578.14
303	BLOC1S1	ENSG00000135441.7
304	BLOC1S2	ENSG00000196072.11
305	BLOC1S3	ENSG00000189114.6
306	BLOC1S4	ENSG00000186222.4
307	BLOC1S6	ENSG00000104164.10
308	BLZF1	ENSG00000117475.13
309	BMI1	ENSG00000168283.13
310	BMS1	ENSG00000165733.7
311	BNIP1	ENSG00000113734.17
312	BNIP2	ENSG00000140299.11
313	BOD1	ENSG00000145919.10
314	BOLA1	ENSG00000178096.8
315	BOLA3	ENSG00000163170.11
316	BPGM	ENSG00000172331.11
317	BPNT1	ENSG00000162813.17
318	BPTF	ENSG00000171634.16
319	BRAT1	ENSG00000106009.15
320	BRD2	ENSG00000235307.9
321	BRD4	ENSG00000141867.17
322	BRD7	ENSG00000166164.15
323	BRD9	ENSG00000028310.17
324	BRE	ENSG00000158019.20
325	BRF1	ENSG00000185024.15
326	BRF2	ENSG00000104221.12
327	BRIX1	ENSG00000113460.12
328	BRK1	ENSG00000254999.3
329	BRMS1	ENSG00000174744.13
330	BRPF1	ENSG00000156983.15
331	BRPF3	ENSG00000096070.19
332	BSDC1	ENSG00000160058.18
333	BSG	ENSG00000172270.18
334	BTBD2	ENSG00000133243.8
335	BTD	ENSG00000169814.12
336	BTF3	ENSG00000145741.15
337	BUB3	ENSG00000154473.17
338	BZW1	ENSG00000082153.17
339	C10orf12	ENSG00000155640.6
340	C10orf2	ENSG00000107815.7
341	C10orf76	ENSG00000120029.12
342	C10orf88	ENSG00000119965.12
343	C11orf1	ENSG00000137720.7
344	C11orf24	ENSG00000171067.10
345	C11orf31	ENSG00000211450.9
346	C11orf57	ENSG00000150776.17
347	C11orf58	ENSG00000110696.9
348	C11orf73	ENSG00000149196.15
349	C11orf83	
350	C12orf10	ENSG00000139637.13
351	C12orf23	
352	C12orf29	ENSG00000133641.17
353	C12orf44	
354	C12orf45	ENSG00000151131.9
355	C12orf5	
356	C12orf52	
357	C12orf57	ENSG00000111678.10
358	C12orf65	ENSG00000130921.7
359	C12orf66	ENSG00000174206.12
360	C14orf1	ENSG00000133935.6
361	C14orf119	ENSG00000179933.5
362	C14orf142	ENSG00000275619.2
363	C14orf166	ENSG00000087302.8
364	C14orf2	ENSG00000156411.9
365	C14orf28	ENSG00000179476.7
366	C15orf38-AP3S2	ENSG00000250021.7
367	C15orf57	ENSG00000128891.15
368	C16orf13	ENSG00000130731.15
369	C16orf62	ENSG00000103544.14
370	C16orf72	ENSG00000182831.11
371	C16orf91	ENSG00000174109.4
372	C17orf49	ENSG00000258315.5
373	C17orf51	ENSG00000212719.10
374	C17orf58	ENSG00000186665.8
375	C17orf59	ENSG00000196544.7
376	C17orf70	
377	C17orf85	ENSG00000074356.16
378	C18orf21	ENSG00000141428.16
379	C18orf25	ENSG00000152242.10
380	C18orf32	ENSG00000177576.10
381	C18orf8	ENSG00000141452.9
382	C19orf43	ENSG00000123144.10
383	C19orf53	ENSG00000104979.8
384	C19orf60	ENSG00000006015.17
385	C19orf70	ENSG00000174917.8
386	C1GALT1	ENSG00000106392.10
387	C1QBP	ENSG00000108561.8
388	C1orf109	ENSG00000116922.14
389	C1orf122	ENSG00000197982.13
390	C1orf123	ENSG00000162384.13
391	C1orf174	ENSG00000198912.10
392	C1orf43	ENSG00000143612.18
393	C1orf50	ENSG00000164008.13
394	C1orf52	ENSG00000162642.13
395	C20orf111	
396	C20orf24	ENSG00000101084.16
397	C21orf2	ENSG00000160226.15
398	C21orf33	ENSG00000160221.16
399	C21orf59	ENSG00000159079.18
400	C22orf28	
401	C22orf29	ENSG00000215012.8
402	C22orf32	
403	C2orf47	ENSG00000162972.10
404	C2orf49	ENSG00000135974.9
405	C2orf69	ENSG00000178074.5
406	C2orf74	ENSG00000237651.6
407	C2orf76	ENSG00000186132.14
408	C3orf17	ENSG00000163608.14
409	C3orf37	
410	C3orf38	ENSG00000179021.9
411	C3orf58	ENSG00000181744.8
412	C4orf27	ENSG00000056050.6
413	C4orf3	ENSG00000164096.12
414	C4orf52	
415	C5orf15	ENSG00000113583.7
416	C5orf24	ENSG00000181904.8
417	C6orf1	ENSG00000186577.11
418	C6orf106	ENSG00000196821.9
419	C6orf120	ENSG00000185127.6
420	C6orf136	ENSG00000237100.9
421	C6orf226	ENSG00000221821.3
422	C6orf47	ENSG00000226103.2
423	C6orf57	
424	C6orf62	ENSG00000112308.12
425	C6orf89	ENSG00000198663.16
426	C7orf25	ENSG00000136197.12
427	C7orf26	ENSG00000146576.12
428	C7orf49	ENSG00000122783.16
429	C7orf50	ENSG00000146540.14
430	C7orf55	ENSG00000164898.12
431	C7orf55-LUC7L2	ENSG00000146963.17
432	C7orf73	ENSG00000243317.7
433	C8orf33	ENSG00000182307.12
434	C8orf40	
435	C8orf59	ENSG00000176731.11
436	C8orf76	ENSG00000189376.11
437	C8orf82	ENSG00000213563.6
438	C9orf123	
439	C9orf16	ENSG00000171159.4
440	C9orf37	
441	C9orf64	ENSG00000165118.14
442	C9orf69	ENSG00000238227.7
443	C9orf78	ENSG00000136819.14
444	C9orf89	ENSG00000165233.17
445	CAB39	ENSG00000135932.10
446	CALCOCO2	ENSG00000136436.14
447	CALM1	ENSG00000198668.10
448	CALR	ENSG00000179218.13
449	CALU	ENSG00000128595.16
450	CAMTA1	ENSG00000171735.18
451	CAMTA2	ENSG00000108509.20
452	CANT1	ENSG00000171302.16
453	CANX	ENSG00000127022.14
454	CAPN1	ENSG00000014216.15
455	CAPN7	ENSG00000131375.9
456	CAPNS1	ENSG00000126247.10
457	CAPRIN1	ENSG00000135387.19
458	CAPZA2	ENSG00000198898.12
459	CAPZB	ENSG00000077549.17
460	CARKD	ENSG00000213995.11
461	CARS	ENSG00000278191.3
462	CARS2	ENSG00000134905.16
463	CASC3	ENSG00000108349.14
464	CASC4	ENSG00000166734.18
465	CASP3	ENSG00000164305.17
466	CASP7	ENSG00000165806.19
467	CASP9	ENSG00000132906.17
468	CBR4	ENSG00000145439.11
469	CBX3	ENSG00000122565.18
470	CBX5	ENSG00000094916.13
471	CC2D1A	ENSG00000132024.17
472	CC2D1B	ENSG00000154222.14
473	CCAR1	ENSG00000060339.13
474	CCBL1	ENSG00000171097.13
475	CCDC12	ENSG00000160799.11
476	CCDC124	ENSG00000007080.10
477	CCDC127	ENSG00000164366.3
478	CCDC130	ENSG00000104957.13
479	CCDC137	ENSG00000185298.12
480	CCDC149	ENSG00000181982.17
481	CCDC174	ENSG00000154781.15
482	CCDC22	ENSG00000101997.12
483	CCDC23	ENSG00000177868.11
484	CCDC25	ENSG00000147419.16
485	CCDC47	ENSG00000108588.13
486	CCDC50	ENSG00000152492.13
487	CCDC51	ENSG00000164051.13
488	CCDC59	ENSG00000133773.11
489	CCDC71	ENSG00000177352.9
490	CCDC86	ENSG00000110104.11
491	CCDC90A	
492	CCDC92	ENSG00000275035.2
493	CCDC94	ENSG00000105248.15
494	CCM2	ENSG00000136280.15
495	CCNB1IP1	ENSG00000100814.17
496	CCNDBP1	ENSG00000166946.13
497	CCNG1	ENSG00000113328.18
498	CCNH	ENSG00000134480.13
499	CCNK	ENSG00000090061.17
500	CCNL1	ENSG00000163660.11
501	CCNL2	ENSG00000221978.11
502	CCNY	ENSG00000108100.17
503	CCPG1	ENSG00000260916.5
504	CCT3	ENSG00000163468.14
505	CCT4	ENSG00000115484.14
506	CCT5	ENSG00000150753.11
507	CCT6A	ENSG00000146731.10
508	CCT7	ENSG00000135624.15
509	CCT8	ENSG00000156261.12
510	CD164	ENSG00000135535.14
511	CD320	ENSG00000167775.10
512	CD46	ENSG00000117335.18
513	CD63	ENSG00000135404.11
514	CD81	ENSG00000110651.11
515	CD82	ENSG00000085117.11
516	CD99L2	ENSG00000102181.19
517	CDC123	ENSG00000151465.13
518	CDC16	ENSG00000130177.14
519	CDC23	ENSG00000094880.10
520	CDC27	ENSG00000004897.11
521	CDC37	ENSG00000105401.6
522	CDC37L1	ENSG00000106993.11
523	CDC40	ENSG00000168438.14
524	CDC42	ENSG00000070831.15
525	CDC5L	ENSG00000096401.7
526	CDIP1	ENSG00000274336.2
527	CDIPT	ENSG00000103502.13
528	CDK12	ENSG00000167258.13
529	CDK13	ENSG00000065883.14
530	CDK16	ENSG00000102225.15
531	CDK2AP1	ENSG00000111328.6
532	CDK4	ENSG00000135446.16
533	CDK5RAP1	ENSG00000101391.20
534	CDK8	ENSG00000132964.11
535	CDK9	ENSG00000136807.11
536	CDS2	ENSG00000101290.13
537	CDV3	ENSG00000091527.15
538	CDYL	ENSG00000153046.17
539	CEBPG	ENSG00000153879.8
540	CEBPZ	ENSG00000115816.13
541	CECR5	ENSG00000069998.12
542	CELF1	ENSG00000149187.17
543	CENPB	ENSG00000125817.7
544	CENPT	ENSG00000102901.12
545	CEP104	ENSG00000116198.12
546	CEP57	ENSG00000166037.10
547	CEP63	ENSG00000182923.16
548	CERK	ENSG00000100422.13
549	CERS2	ENSG00000143418.19
550	CGGBP1	ENSG00000163320.10
551	CHAMP1	ENSG00000198824.5
552	CHCHD1	ENSG00000172586.7
553	CHCHD2	ENSG00000106153.12
554	CHCHD3	ENSG00000106554.11
555	CHCHD4	ENSG00000163528.12
556	CHCHD5	ENSG00000125611.15
557	CHCHD7	ENSG00000170791.17
558	CHD1L	ENSG00000131778.17
559	CHD4	ENSG00000111642.14
560	CHD8	ENSG00000100888.12
561	CHERP	ENSG00000085872.14
562	CHID1	ENSG00000177830.17
563	CHKB	ENSG00000100288.19
564	CHMP1A	ENSG00000131165.14
565	CHMP2A	ENSG00000130724.8
566	CHMP2B	ENSG00000083937.8
567	CHMP4A	ENSG00000254505.8
568	CHMP4B	ENSG00000101421.3
569	CHMP5	ENSG00000086065.13
570	CHMP6	ENSG00000176108.9
571	CHP1	ENSG00000187446.11
572	CHPT1	ENSG00000111666.10
573	CHRAC1	ENSG00000104472.9
574	CHST12	ENSG00000136213.9
575	CHST7	ENSG00000147119.3
576	CHTOP	ENSG00000160679.12
577	CHUK	ENSG00000213341.10
578	CHURC1	ENSG00000258289.7
579	CHURC1-FNTB	ENSG00000125954.12
580	CIAO1	ENSG00000144021.2
581	CIB1	ENSG00000185043.10
582	CIC	ENSG00000079432.7
583	CINP	ENSG00000100865.14
584	CIR1	ENSG00000138433.15
585	CIRH1A	ENSG00000262788.3
586	CISD1	ENSG00000122873.11
587	CISD2	ENSG00000145354.9
588	CISD3	ENSG00000274768.2
589	CKAP4	ENSG00000136026.13
590	CLCC1	ENSG00000121940.15
591	CLCN3	ENSG00000109572.13
592	CLCN7	ENSG00000103249.17
593	CLINT1	ENSG00000113282.13
594	CLK3	ENSG00000179335.18
595	CLNS1A	ENSG00000074201.8
596	CLOCK	ENSG00000134852.14
597	CLP1	ENSG00000172409.5
598	CLPP	ENSG00000125656.8
599	CLPTM1	ENSG00000104853.15
600	CLPTM1L	ENSG00000274811.3
601	CLPX	ENSG00000166855.9
602	CLTA	ENSG00000122705.16
603	CLTB	ENSG00000175416.12
604	CLTC	ENSG00000141367.11
605	CMAS	ENSG00000111726.12
606	CMC1	ENSG00000187118.12
607	CMC2	ENSG00000103121.8
608	CMC4	ENSG00000182712.15
609	CMPK1	ENSG00000162368.13
610	CNBP	ENSG00000169714.16
611	CNIH	
612	CNIH4	ENSG00000143771.11
613	CNNM2	ENSG00000148842.17
614	CNNM3	ENSG00000168763.15
615	CNOT1	ENSG00000125107.16
616	CNOT11	ENSG00000158435.7
617	CNOT2	ENSG00000111596.11
618	CNOT3	ENSG00000277600.4
619	CNOT4	ENSG00000080802.18
620	CNOT7	ENSG00000198791.11
621	CNST	ENSG00000162852.13
622	COA1	ENSG00000106603.17
623	COA3	ENSG00000183978.7
624	COA4	ENSG00000181924.6
625	COA5	ENSG00000183513.8
626	COA6	ENSG00000168275.14
627	COASY	ENSG00000068120.14
628	COG1	ENSG00000166685.11
629	COG2	ENSG00000135775.13
630	COG3	ENSG00000136152.14
631	COG4	ENSG00000103051.18
632	COG7	ENSG00000168434.12
633	COG8	ENSG00000213380.13
634	COMMD1	ENSG00000173163.10
635	COMMD10	ENSG00000145781.8
636	COMMD3	ENSG00000148444.15
637	COMMD3-BMI1	ENSG00000269897.5
638	COMMD5	ENSG00000170619.9
639	COMMD6	ENSG00000188243.12
640	COMMD7	ENSG00000149600.11
641	COMMD9	ENSG00000110442.11
642	COMT	ENSG00000093010.11
643	COPA	ENSG00000122218.14
644	COPB1	ENSG00000129083.12
645	COPB2	ENSG00000184432.9
646	COPE	ENSG00000105669.12
647	COPG1	ENSG00000181789.14
648	COPS2	ENSG00000166200.14
649	COPS3	ENSG00000141030.12
650	COPS4	ENSG00000138663.8
651	COPS5	ENSG00000121022.13
652	COPS6	ENSG00000168090.9
653	COPS7A	ENSG00000111652.9
654	COPS7B	ENSG00000144524.17
655	COPS8	ENSG00000198612.10
656	COPZ1	ENSG00000111481.9
657	COQ10B	ENSG00000115520.8
658	COQ2	ENSG00000173085.13
659	COQ4	ENSG00000167113.10
660	COQ5	ENSG00000110871.14
661	COQ6	ENSG00000119723.15
662	CORO1C	ENSG00000110880.10
663	COX11	ENSG00000166260.10
664	COX14	ENSG00000178449.8
665	COX15	ENSG00000014919.12
666	COX16	ENSG00000133983.14
667	COX19	ENSG00000240230.5
668	COX20	ENSG00000203667.9
669	COX4I1	ENSG00000131143.8
670	COX5B	ENSG00000135940.6
671	COX6B1	ENSG00000126267.8
672	COX6C	ENSG00000164919.10
673	COX7A2	ENSG00000112695.11
674	COX7A2L	ENSG00000115944.14
675	COX7C	ENSG00000127184.10
676	COX8A	ENSG00000176340.3
677	CPD	ENSG00000108582.11
678	CPNE1	ENSG00000214078.11
679	CPNE2	ENSG00000140848.16
680	CPNE3	ENSG00000085719.11
681	CPOX	ENSG00000080819.6
682	CPSF2	ENSG00000165934.12
683	CPSF3L	ENSG00000127054.18
684	CPSF4	ENSG00000160917.14
685	CPSF6	ENSG00000111605.16
686	CPSF7	ENSG00000149532.15
687	CRADD	ENSG00000169372.12
688	CRBN	ENSG00000113851.13
689	CRCP	ENSG00000241258.6
690	CREB3	ENSG00000107175.10
691	CREBZF	ENSG00000137504.13
692	CREG1	ENSG00000143162.7
693	CRELD1	ENSG00000163703.17
694	CRIPAK	ENSG00000179979.8
695	CRIPT	ENSG00000119878.5
696	CRK	ENSG00000167193.7
697	CRKL	ENSG00000099942.12
698	CRLS1	ENSG00000088766.11
699	CRNKL1	ENSG00000101343.14
700	CRTC2	ENSG00000160741.16
701	CRY2	ENSG00000121671.11
702	CSGALNACT2	ENSG00000169826.7
703	CSNK1A1	ENSG00000113712.16
704	CSNK1A1L	ENSG00000180138.7
705	CSNK1D	ENSG00000141551.14
706	CSNK1G3	ENSG00000151292.17
707	CSNK2A3	ENSG00000254598.2
708	CSNK2B	ENSG00000224774.7
709	CSRP2BP	ENSG00000149474.13
710	CST3	ENSG00000101439.8
711	CSTB	ENSG00000160213.5
712	CSTF1	ENSG00000101138.11
713	CSTF2T	ENSG00000177613.8
714	CTAGE5	ENSG00000150527.16
715	CTBP1	ENSG00000159692.15
716	CTCF	ENSG00000102974.14
717	CTDSP2	ENSG00000175215.9
718	CTNNA1	ENSG00000044115.20
719	CTNNB1	ENSG00000168036.16
720	CTNNBIP1	ENSG00000178585.14
721	CTNNBL1	ENSG00000132792.18
722	CTNND1	ENSG00000198561.12
723	CTSA	ENSG00000064601.16
724	CTSD	ENSG00000117984.12
725	CTTN	ENSG00000085733.15
726	CTU2	ENSG00000174177.12
727	CUEDC2	ENSG00000107874.10
728	CUL1	ENSG00000055130.15
729	CUL2	ENSG00000108094.14
730	CUL4A	ENSG00000139842.14
731	CUL4B	ENSG00000158290.16
732	CUL5	ENSG00000166266.13
733	CUTA	ENSG00000226492.7
734	CUX1	ENSG00000257923.9
735	CWC15	ENSG00000150316.11
736	CWC22	ENSG00000163510.13
737	CWC25	ENSG00000276761.2
738	CXXC1	ENSG00000154832.14
739	CXXC5	ENSG00000171604.11
740	CXorf40A	ENSG00000197620.10
741	CXorf40B	ENSG00000197021.8
742	CXorf56	ENSG00000018610.13
743	CYB5B	ENSG00000103018.16
744	CYB5D2	ENSG00000167740.9
