	hk_gene	gene_id
0	AAAS	ENSG00000094914.12
1	AAGAB	ENSG00000103591.12
2	AAMP	ENSG00000127837.9
3	AAR2	ENSG00000131043.11
4	AARS	ENSG00000090861.15
5	AARS2	ENSG00000124608.4
6	AARSD1	ENSG00000266967.6
7	AASDHPPT	ENSG00000149313.10
8	AATF	ENSG00000276072.2
9	ABCB10	ENSG00000135776.4
10	ABCB7	ENSG00000131269.15
11	ABCD3	ENSG00000117528.11
12	ABCE1	ENSG00000164163.10
13	ABCF1	ENSG00000225989.9
14	ABCF2	ENSG00000033050.7
15	ABCF3	ENSG00000161204.11
16	ABHD10	ENSG00000144827.8
17	ABHD12	ENSG00000100997.18
18	ABHD13	ENSG00000139826.5
19	ABHD14A	ENSG00000248487.8
20	ABHD16A	ENSG00000230475.9
21	ABHD4	ENSG00000100439.10
22	ABHD8	ENSG00000127220.5
23	ABI1	ENSG00000136754.16
24	ABT1	ENSG00000146109.4
25	ACAD9	ENSG00000177646.17
26	ACADVL	ENSG00000072778.19
27	ACAP3	ENSG00000131584.18
28	ACBD3	ENSG00000182827.8
29	ACBD5	ENSG00000107897.18
30	ACBD6	ENSG00000230124.6
31	ACIN1	ENSG00000100813.14
32	ACLY	ENSG00000131473.16
33	ACOT13	ENSG00000112304.10
34	ACOT8	ENSG00000101473.16
35	ACOT9	ENSG00000123130.16
36	ACOX1	ENSG00000161533.11
37	ACOX3	ENSG00000087008.15
38	ACP1	ENSG00000143727.15
39	ACSF3	ENSG00000176715.15
40	ACSL3	ENSG00000123983.13
41	ACSS2	ENSG00000131069.19
42	ACTR10	ENSG00000131966.13
43	ACTR1A	ENSG00000138107.11
44	ACTR1B	ENSG00000115073.7
45	ACTR5	ENSG00000101442.9
46	ACTR8	ENSG00000113812.13
47	ACVR1	ENSG00000115170.13
48	ACVR1B	ENSG00000135503.12
49	ADCK2	ENSG00000133597.9
50	ADCK4	ENSG00000123815.11
51	ADH5	ENSG00000197894.10
52	ADI1	ENSG00000280830.1
53	ADIPOR1	ENSG00000159346.12
54	ADIPOR2	ENSG00000006831.9
